Student_ID,math_score,reading_score,writing_score,parental_level_of_education,lunch_plan,test_preparation_course,Gender,Year_Group
3D9017734B99,60,69,71,3,2,1,F,"Group B"
C13AC580A790,60,69,75,4,2,0,F,"Group B"
BAC092D4164D,87,82,83,5,2,0,F,"Group B"
9E1BAE3EFE7D,60,68,63,1,1,0,F,"Group B"
B9BA665B319A,63,60,60,4,2,0,F,"Group B"
CF51A52CD06A,40,53,49,1,1,0,F,"Group B"
45D15C5E203A,45,66,60,2,1,0,F,"Group B"
C109B259FCA1,56,74,72,4,2,0,F,"Group B"
E4D35FFFEE48,74,91,76,1,2,0,F,"Group B"
40556FA30792,25,37,42,5,2,0,F,"Group B"
A04586F90A7E,80,96,94,2,2,0,F,"Group B"
18CBFA9D3A9F,83,83,84,1,2,0,F,"Group B"
738FFAD6D082,88,100,99,5,2,1,F,"Group B"
5450C151A48E,57,68,68,3,2,1,F,"Group B"
D38F05E656BA,61,60,62,3,2,0,F,"Group B"
A804470B0878,72,86,80,4,2,1,F,"Group B"
BA0433D8A643,68,71,74,1,2,1,F,"Group B"
B3FC3CAE4EA9,51,57,60,3,2,1,F,"Group B"
A49A7C8E020F,74,77,82,4,1,1,F,"Group B"
1419793DEED9,77,82,78,4,2,0,F,"Group B"
EDC3ED6DC9A6,44,50,51,3,2,1,F,"Group B"
E38759EE6B1A,60,77,70,3,1,0,F,"Group B"
0B7376C9C407,73,93,88,4,1,1,F,"Group B"
402093B50F07,47,70,60,1,1,0,F,"Group B"
CA030BFFD583,60,78,81,3,2,0,F,"Group B"
00A29B9734B4,65,69,64,2,2,0,F,"Group B"
C956E9858E3E,71,77,76,5,2,0,F,"Group B"
5E9849FC981D,38,45,40,4,1,0,F,"Group B"
398EDC8D7360,40,46,40,4,1,0,F,"Group B"
9CE51413C045,56,67,68,1,1,0,F,"Group B"
43E1519F2042,65,74,69,1,2,0,F,"Group B"
FF22679D9BC8,73,77,77,3,2,1,F,"Group B"
5F8BCBBE8780,77,83,93,4,2,1,F,"Group B"
164394D24A13,42,40,45,2,1,1,F,"Group B"
F1D0A5877494,53,60,54,1,1,0,F,"Group B"
6FFE4CE605E7,76,89,82,3,2,0,F,"Group B"
77E4A818DBC7,47,64,61,6,1,0,F,"Group B"
FDDB4FCD74E7,37,39,39,2,2,0,F,"Group B"
459116B06019,56,58,55,3,2,0,F,"Group B"
F00D3F11BCFE,93,100,100,4,2,1,F,"Group B"
6FD841149FEC,38,53,54,3,1,0,F,"Group B"
DA5D0EE8390E,59,70,71,1,2,1,F,"Group B"
5588DD6C0456,71,87,89,4,2,1,F,"Group B"
E31B8A46282D,39,43,48,1,2,0,F,"Group B"
E0648B7ECCC1,71,83,85,5,2,0,F,"Group B"
56A440B24863,39,53,46,1,2,0,F,"Group B"
0161F5927B78,80,92,90,2,2,0,F,"Group B"
A3A5558121AA,39,54,55,3,2,1,F,"Group B"
2397396066FF,55,64,59,2,2,0,F,"Group B"
6ABE33B6BD9E,55,64,71,3,1,1,F,"Group B"
4A92F11EF803,56,51,45,3,1,0,M,"Group B"
9F4D737752D8,62,66,63,3,1,0,M,"Group B"
9478F8191330,74,62,61,1,2,0,M,"Group B"
869A0ACEB1DE,86,78,76,2,2,1,M,"Group B"
168F35937296,65,68,57,1,1,0,M,"Group B"
D5340932D27E,65,60,50,5,2,0,M,"Group B"
32B495DE2EE2,66,71,69,3,1,0,M,"Group B"
54750234029D,74,68,69,5,2,0,M,"Group B"
8618601C8824,52,58,57,4,1,0,M,"Group B"
544662C2A4EE,62,61,61,2,1,1,M,"Group B"
8B1B5F3FDEB2,68,72,69,1,1,0,M,"Group B"
8AEB22EA9D82,93,85,85,2,2,1,M,"Group B"
FC37FD84A71D,37,43,39,5,1,0,M,"Group B"
1B88E8DF360F,70,67,66,3,1,0,M,"Group B"
2E726A491B81,59,48,55,6,2,1,M,"Group B"
F817F2CC6CD9,69,54,55,5,2,0,M,"Group B"
1AAE34AE28EB,61,61,64,4,2,1,M,"Group B"
3276FF5247AB,66,63,52,1,2,0,M,"Group B"
4A333A23C5D0,71,67,66,1,2,0,M,"Group B"
D370FD74A8D1,72,67,63,3,2,1,M,"Group B"
680CF5F7AEEF,85,80,75,2,2,0,M,"Group B"
2428CA231380,42,38,36,1,2,0,M,"Group B"
61A8766708E7,53,60,49,3,2,0,M,"Group B"
12B92F8CBA64,79,68,72,2,2,0,M,"Group B"
D9FCACCA0258,71,66,62,1,2,1,M,"Group B"
9ABD506FE024,77,69,66,2,2,0,M,"Group B"
930AAA9B8074,81,84,79,1,2,1,M,"Group B"
5E739E6D8A2E,91,83,86,2,2,1,M,"Group B"
BE87DF6C173F,40,42,37,2,1,1,M,"Group B"
630BB8BB6794,73,72,75,6,1,1,M,"Group B"
52A74FEAFA2B,76,76,76,3,2,1,M,"Group B"
27C73E600CC0,64,63,60,4,1,0,M,"Group B"
BEEF12C482D0,67,62,64,6,2,0,M,"Group B"
84B769FB0573,79,76,79,4,2,1,M,"Group B"
25EDF5FE7661,89,77,82,3,1,1,M,"Group B"
DF7E31538559,71,70,62,1,2,0,M,"Group B"
D0B0F313C535,41,50,45,3,2,1,M,"Group B"
FABB79BBEF58,62,67,69,5,1,0,M,"Group B"
C3D918FD62E0,63,66,60,4,1,0,M,"Group B"
C19CF10E0311,44,48,55,2,1,1,M,"Group B"
4B059F14F68D,70,65,63,1,1,1,M,"Group B"
619D49540715,75,77,71,5,1,0,M,"Group B"
F4835D2A718B,79,80,71,6,2,0,M,"Group B"
8F98FAED8372,85,73,66,3,2,0,M,"Group B"
D6B2B541E861,77,69,70,2,2,0,M,"Group B"
DA4A1D845E53,58,62,64,2,2,1,M,"Group B"
8EEC776A43D9,61,65,56,3,1,1,M,"Group B"
15BAA7386610,58,65,55,2,1,0,M,"Group B"
3BDD8AD15E95,58,57,53,2,1,0,M,"Group B"
F0714931CC06,85,75,74,2,2,0,M,"Group B"
AB0D7FB833BB,50,48,47,3,1,0,M,"Group B"
035827F94A61,57,51,46,6,1,0,M,"Group B"
8B3A9E1DC751,71,80,79,5,2,1,M,"Group B"
E64E600928E1,76,76,70,2,2,0,M,"Group B"
7C711505EC7E,77,64,61,5,1,0,M,"Group B"
98C57B1D2E5C,81,82,75,2,2,0,M,"Group B"
AE6DD4190E1A,82,83,73,1,2,0,M,"Group B"
03E9B1593CBA,88,72,77,1,2,1,M,"Group B"
146C5610BBF5,42,40,40,5,1,1,M,"Group B"
5231F7FC4320,58,60,56,5,1,1,M,"Group B"
5A8AE4B9B146,81,71,71,4,2,1,M,"Group B"
278DEF78BEC1,57,62,56,4,1,0,M,"Group B"
A2C38CA3E744,55,45,41,3,2,0,M,"Group B"
CD18750B1755,80,80,70,4,1,1,M,"Group B"
6481B5D6B762,85,71,70,4,2,0,M,"Group B"
E9C5A0CE239F,51,44,47,1,2,1,M,"Group B"
E0B7E82AB286,61,50,47,3,2,0,M,"Group B"
33E7E16B6081,79,83,82,4,2,1,M,"Group B"
3049A95E9F66,35,45,36,3,2,1,M,"Group B"
91171C440411,41,42,42,2,1,1,M,"Group B"
9495216FD8AA,62,70,66,4,1,0,M,"Group B"
8CC9C9B495DD,70,67,64,1,2,0,M,"Group B"
DE272CCB97E4,50,52,53,3,1,0,M,"Group B"
4A1ABE7D39C9,66,71,70,5,2,0,M,"Group B"
64A37879240B,76,66,70,5,2,0,M,"Group B"
0B184DE679DF,95,92,87,2,2,1,M,"Group B"
1243543B5EFD,97,89,90,3,2,1,M,"Group B"
1065E531486A,43,38,35,2,2,0,M,"Group B"
933F864098BB,77,76,78,1,2,1,M,"Group B"
2BB66599B20D,64,56,62,3,2,1,M,"Group B"
762DE13EC60E,71,76,73,2,2,1,M,"Group B"
511F8AF7443A,46,50,41,6,2,0,M,"Group B"
AD59DD156E95,92,84,78,1,2,0,M,"Group B"
B814C88DED05,36,38,29,1,1,0,M,"Group B"
B8E247196BF6,36,42,41,4,1,0,M,"Group B"
592288068D0E,36,29,23,1,2,0,M,"Group B"
5C6E4E772A46,52,61,58,2,1,0,M,"Group B"
1526707671A1,65,63,61,4,2,0,M,"Group B"
BB3CCFB22F7B,44,56,49,2,1,0,M,"Group B"
141E27304EDF,50,48,42,4,2,0,M,"Group B"
334CD50F9DEB,67,59,54,1,1,1,M,"Group B"
09583E86500A,73,82,81,2,2,1,M,"Group B"
226840CABC14,59,59,54,1,2,0,M,"Group B"
4739DDD476DC,67,63,61,3,2,0,M,"Group B"
74512218FBE9,70,61,60,6,2,0,M,"Group B"
E235C07F2441,38,37,36,1,1,1,M,"Group B"
62475ADCE79B,46,41,39,1,1,0,M,"Group B"
B22935154156,60,69,61,4,1,0,M,"Group B"
35AF11AEA790,60,62,65,1,2,1,M,"Group B"
D489D7FD445B,76,69,68,2,2,1,M,"Group B"
14B7CC4AEB5B,48,62,60,5,2,0,F,"Group C"
6FC0071A7924,59,66,70,3,1,0,F,"Group C"
FD0C41A0A1D0,67,71,74,3,2,1,F,"Group C"
84A35900FBAB,59,62,65,2,1,1,F,"Group C"
41A28855086B,68,78,80,3,2,1,F,"Group C"
3DAA4AA75CB6,73,76,78,1,2,0,F,"Group C"
BFF287E77E33,40,59,55,1,1,1,F,"Group C"
3F8284ED2793,58,68,69,5,1,1,F,"Group C"
D39427F2F8C2,66,66,70,4,1,1,F,"Group C"
A93879718E9D,77,91,90,3,2,1,F,"Group C"
37A85E7A9749,81,78,84,4,2,1,F,"Group C"
D34FAAA5668C,92,100,95,6,2,0,F,"Group C"
D345B1BE6187,73,88,91,5,2,1,F,"Group C"
D3A656E62F7B,73,91,79,4,1,0,F,"Group C"
B944854DBA45,77,69,73,2,2,0,F,"Group C"
86E3CAC49AB9,55,66,61,1,2,0,F,"Group C"
8A952A2D7D1A,61,70,65,4,2,0,F,"Group C"
723E537F641E,63,68,72,2,1,0,F,"Group C"
9E51BE31D56D,76,89,81,3,1,0,F,"Group C"
C184023552D8,46,70,69,6,1,0,F,"Group C"
ED1F7DB9F62E,58,75,71,5,2,1,F,"Group C"
3B399EA04CF2,64,76,78,4,1,0,F,"Group C"
3BFA1D44412E,65,82,84,3,1,1,F,"Group C"
31590F7B7763,69,85,83,4,1,1,F,"Group C"
FDFB401FB111,70,79,77,3,2,0,F,"Group C"
78DE1881B331,60,73,72,1,2,0,F,"Group C"
B9D6C7F5FF5A,69,83,84,2,2,1,F,"Group C"
493EFBA51280,20,29,25,1,1,0,F,"Group C"
1AD236703C0A,52,60,63,4,1,0,F,"Group C"
274622CB9E2B,65,76,79,1,2,1,F,"Group C"
F3114277CE37,69,78,80,5,2,1,F,"Group C"
28C179918559,66,86,86,2,1,0,F,"Group C"
2A3EFCBB1621,77,76,81,5,2,0,F,"Group C"
6EE914FC1236,94,96,94,4,2,0,F,"Group C"
51EE8B706538,96,94,100,3,2,1,F,"Group C"
E9A4A3D1A455,53,66,62,5,1,0,F,"Group C"
2125640ECC02,70,77,80,4,2,1,F,"Group C"
4D766AFEF073,24,43,42,3,1,1,F,"Group C"
77F5F1800B95,55,69,69,5,2,1,F,"Group C"
7676195ABF74,65,68,69,2,2,0,F,"Group C"
9DDCF587CCEB,59,66,71,3,1,0,F,"Group C"
352996286170,63,72,71,6,1,0,F,"Group C"
82B43EA3DA70,82,82,77,2,2,0,F,"Group C"
0059A6F2ADF5,89,86,89,2,2,1,F,"Group C"
E1E4E56C0276,56,60,66,6,1,0,F,"Group C"
8A4C29C07972,66,68,75,2,2,1,F,"Group C"
0E5CF28C44E4,67,72,79,3,2,0,F,"Group C"
F5298C3969C6,68,85,84,4,2,1,F,"Group C"
A9A1C46CCD43,81,83,86,5,2,0,F,"Group C"
36FEF26338A0,51,56,51,2,1,0,F,"Group C"
C3CD4332FA2E,68,91,91,1,2,1,F,"Group C"
8539A389EC5D,71,78,71,4,2,0,F,"Group C"
F9E063FA0533,79,85,83,4,2,0,F,"Group C"
2F413E4EE22D,82,90,88,1,2,0,F,"Group C"
8D0AD0B0F306,43,57,57,3,2,0,F,"Group C"
42F0AA2F9D91,75,81,84,4,2,0,F,"Group C"
BF55A2C58A1B,77,76,81,2,2,0,F,"Group C"
19D32C291DDF,28,49,49,5,1,0,F,"Group C"
D297CAC662B1,61,65,64,4,2,0,F,"Group C"
0CAC5F6B3996,69,84,88,2,2,1,F,"Group C"
6E574745ADFD,35,41,34,1,2,0,F,"Group C"
1FE8E2345AEC,47,68,72,6,1,0,F,"Group C"
EE9D165109EA,55,64,65,2,1,0,F,"Group C"
E513901FA3C6,58,77,77,4,1,0,F,"Group C"
E336763331F2,56,53,60,4,2,0,F,"Group C"
A21613612F0D,58,67,66,6,2,0,F,"Group C"
06F57C0CE294,49,66,59,3,2,0,F,"Group C"
4CC92A9ECFD3,59,79,75,4,1,0,F,"Group C"
325C2D277D3F,68,76,77,2,1,1,F,"Group C"
3C28706699FF,71,80,85,3,2,1,F,"Group C"
CE3C4FE15187,73,74,76,6,2,0,F,"Group C"
1C0C676F6404,62,84,75,2,1,0,F,"Group C"
784EF86B34E7,77,84,82,1,2,1,F,"Group C"
DE33DEC4FDCD,79,92,88,3,2,1,F,"Group C"
6AB2F507F1B1,41,45,46,1,2,1,F,"Group C"
B15BD476EEBC,49,65,59,4,1,1,F,"Group C"
DEFE4FA15059,46,52,45,2,1,0,F,"Group C"
E5C92545045F,53,68,59,1,2,0,F,"Group C"
3FDAB6F305D8,74,90,90,3,1,1,F,"Group C"
B0F469323C07,67,89,87,4,2,1,F,"Group C"
1761EAEB10A9,43,51,56,2,2,0,F,"Group C"
ADEA1A9BDA25,49,67,61,5,2,0,F,"Group C"
9A1460731552,52,60,62,4,2,0,F,"Group C"
145B74D5CDD6,64,63,64,3,2,0,F,"Group C"
8A8F66A1F44A,70,85,81,3,2,0,F,"Group C"
21D71B2E128A,75,86,81,1,2,0,F,"Group C"
F73D7D73A788,75,90,82,6,2,0,F,"Group C"
71C6C7E89DB8,77,97,95,1,2,1,F,"Group C"
DCBC3F1A9843,65,64,68,4,2,0,F,"Group C"
B92F5B2EFB11,70,74,79,1,2,1,F,"Group C"
6C6C51C7790D,90,100,100,5,2,1,F,"Group C"
92CF2A874655,61,84,72,4,2,0,F,"Group C"
C01EAFEA58A1,89,92,85,2,2,0,F,"Group C"
2E3EA6868028,60,65,66,3,2,0,F,"Group C"
2EACDC900E12,67,78,87,3,2,1,F,"Group C"
9555F6ACDE13,52,63,57,3,2,0,F,"Group C"
6D564E40A439,61,66,63,5,2,0,F,"Group C"
20D059A58CAA,62,72,74,2,1,0,F,"Group C"
771D0BC4FB5E,64,78,75,1,2,0,F,"Group C"
FE3AA8261DD9,74,85,84,3,2,1,F,"Group C"
6B156B454D40,45,49,40,2,2,0,F,"Group C"
81767BB9205A,50,58,65,3,1,0,F,"Group C"
339F9AA99514,66,75,74,2,2,1,F,"Group C"
BF0DAF397AD5,42,55,43,2,1,0,F,"Group C"
DBF6650049AE,56,73,76,3,1,1,F,"Group C"
76BB9D890DD5,67,65,69,3,2,0,F,"Group C"
8BF820548DED,46,54,47,1,2,0,F,"Group C"
198BC28F4C79,55,69,62,1,2,0,F,"Group C"
8438496CD8B9,56,73,74,1,1,1,F,"Group C"
AA4108492775,59,69,69,1,2,0,F,"Group C"
62E4CAED39FD,59,79,77,4,2,1,F,"Group C"
79C116F98641,66,70,72,3,2,0,F,"Group C"
F373F78C6D5F,70,91,87,4,2,1,F,"Group C"
B340B10A3EA0,50,61,60,2,1,1,F,"Group C"
38CD7CA404EF,56,60,59,1,1,0,F,"Group C"
B6216E2EADCE,40,50,52,2,1,0,F,"Group C"
F9B0DC5C7DF1,67,84,84,3,2,0,F,"Group C"
A4FD384F7256,55,79,67,1,1,0,F,"Group C"
C6CC75D21FD5,69,84,87,6,2,1,F,"Group C"
320181ACE77A,73,81,83,5,2,0,F,"Group C"
E26EB2269D25,44,54,59,1,1,1,F,"Group C"
62AC5143150B,51,67,57,4,2,0,F,"Group C"
67408F770515,66,71,69,2,2,0,F,"Group C"
B7B4ACCB8AFF,79,79,85,5,2,0,F,"Group C"
E6685CBEABBA,83,95,91,6,2,0,F,"Group C"
36D5545BFA4D,55,67,67,3,1,0,F,"Group C"
FDF6FE283A49,70,65,71,3,2,0,F,"Group C"
59981EEA96CE,42,60,63,4,1,1,F,"Group C"
30B694BB28A7,65,73,72,3,2,1,F,"Group C"
D8041D85C9AC,73,78,83,4,2,1,F,"Group C"
A10DAD7189E6,62,70,73,5,2,0,F,"Group C"
029F2F46E208,68,74,76,1,2,1,F,"Group C"
743680BE1054,79,89,85,6,2,0,F,"Group C"
7811A6F2B2B7,33,42,42,3,2,0,F,"Group C"
E73A11C8FA77,38,58,57,3,1,0,F,"Group C"
E0C4F7D14B55,45,59,59,4,2,0,F,"Group C"
959495040897,66,87,82,1,1,0,F,"Group C"
EB60210EBD43,67,79,79,2,2,1,F,"Group C"
44A085BE590E,77,92,90,4,2,1,F,"Group C"
4802DCF935A0,53,65,62,1,2,0,F,"Group C"
CDD5C84A6CFC,64,77,72,6,2,0,F,"Group C"
75B5503ACB0F,72,82,80,3,1,1,F,"Group C"
47FBC06F7B7E,73,89,89,2,2,1,F,"Group C"
CCFC6B4B6798,78,85,81,3,1,0,F,"Group C"
746053366BAE,82,86,83,4,1,0,F,"Group C"
9D0F9CA02EE7,84,92,93,4,2,1,F,"Group C"
51A8CC09F9FF,39,47,47,2,2,0,F,"Group C"
1A0A099A44C9,46,63,61,3,2,1,F,"Group C"
45FE852B31C8,66,61,62,4,1,0,F,"Group C"
2B3E643FA766,69,78,78,1,2,0,F,"Group C"
5DA75D60A08F,85,93,87,4,2,0,F,"Group C"
1F1DB4F82983,39,54,57,5,2,1,F,"Group C"
F21905D7B85A,79,95,88,5,2,0,F,"Group C"
1AA86235A6D3,90,96,92,4,2,0,F,"Group C"
3806A01744EC,60,77,65,4,2,0,F,"Group C"
6D90AC5C0251,65,74,80,6,2,0,F,"Group C"
CCFB414E82E8,72,90,89,4,2,1,F,"Group C"
F0D469E44A0F,56,65,66,1,2,1,F,"Group C"
5C4D3C4A8FAF,61,55,55,3,2,0,F,"Group C"
0409A342D107,66,82,76,2,1,0,F,"Group C"
CC3F9DA412EB,68,76,79,3,2,0,F,"Group C"
850118A768B7,82,85,83,6,2,0,F,"Group C"
89F994C48FD1,71,73,69,6,2,0,M,"Group C"
9DD832A8F1AA,79,76,72,2,2,0,M,"Group C"
8C95992C1D85,80,63,63,4,2,0,M,"Group C"
B4252DADA10F,81,80,82,4,2,0,M,"Group C"
81B7756E2D7C,96,100,100,6,2,1,M,"Group C"
C9254BEBC1E0,63,64,59,4,1,1,M,"Group C"
E7436BC28858,44,52,45,1,1,0,M,"Group C"
F43FDFEB98FA,44,52,40,1,2,0,M,"Group C"
CB0BA8AFDD70,61,66,65,6,1,0,M,"Group C"
E9442F4653E3,77,61,64,4,2,0,M,"Group C"
24B89DBFFA60,86,85,90,1,2,1,M,"Group C"
3005C243B257,56,60,50,2,2,0,M,"Group C"
3369487B6030,65,67,63,4,1,0,M,"Group C"
C2719A2BC6E0,76,72,76,6,1,0,M,"Group C"
D2FFDDE96F7B,77,79,74,3,1,1,M,"Group C"
2DF8539DE639,35,35,34,2,1,0,M,"Group C"
B79537E22F9F,69,61,67,5,1,0,M,"Group C"
760EE84C6AA7,69,68,65,2,2,0,M,"Group C"
8D33C0362397,63,54,54,2,1,0,M,"Group C"
2A238AE66A67,79,72,72,3,2,0,M,"Group C"
F14C07566C13,85,77,79,3,2,1,M,"Group C"
A6F110D43D3E,85,77,73,2,2,1,M,"Group C"
E18AB12AB162,58,56,48,4,2,0,M,"Group C"
2387ECDB2D21,65,64,64,4,2,0,M,"Group C"
28017C810D08,53,50,49,2,1,0,M,"Group C"
F61EF2F86206,60,64,62,1,2,0,M,"Group C"
9051B7C03F73,64,64,59,4,1,1,M,"Group C"
F7CFBA05F4A7,68,69,61,1,1,1,M,"Group C"
E7A6F35016F2,61,54,50,3,2,1,M,"Group C"
7F5A13CFBDA0,63,64,62,3,1,0,M,"Group C"
2885445CF71F,64,69,64,5,2,0,M,"Group C"
932F0D2360F8,72,66,60,5,2,0,M,"Group C"
8DD3D758A61A,76,77,75,3,1,1,M,"Group C"
